Date,Open,High,Low,Close*,Adj Close**,Volume
9-Dec-20,"7,649.51","7,662.45","7,555.71","7,581.06","7,581.06",-
8-Dec-20,"7,601.80","7,654.16","7,593.28","7,641.43","7,641.43",-
7-Dec-20,"7,625.71","7,631.24","7,593.11","7,620.00","7,620.00",-
4-Dec-20,"7,576.61","7,634.81","7,576.61","7,634.77","7,634.77",-
3-Dec-20,"7,570.66","7,600.41","7,548.24","7,567.44","7,567.44",-
2-Dec-20,"7,539.35","7,574.03","7,521.57","7,570.76","7,570.76",-
1-Dec-20,"7,522.30","7,589.22","7,522.30","7,556.51","7,556.51",-
30-Nov-20,"7,497.94","7,497.94","7,416.46","7,472.06","7,472.06",-
27-Nov-20,"7,505.77","7,517.66","7,486.95","7,505.38","7,505.38",-
25-Nov-20,"7,498.76","7,498.76","7,462.17","7,486.68","7,486.68",-
24-Nov-20,"7,413.97","7,512.14","7,413.97","7,498.29","7,498.29",-
23-Nov-20,"7,356.72","7,403.70","7,327.75","7,378.94","7,378.94",-
20-Nov-20,"7,381.65","7,385.60","7,335.75","7,336.76","7,336.76",-
19-Nov-20,"7,340.55","7,393.59","7,309.20","7,386.86","7,386.86",-
18-Nov-20,"7,448.67","7,463.07","7,356.81","7,357.34","7,357.34",-
17-Nov-20,"7,443.64","7,469.99","7,399.21","7,442.04","7,442.04",-
16-Nov-20,"7,421.66","7,478.34","7,421.66","7,476.79","7,476.79",-
13-Nov-20,"7,323.46","7,408.11","7,323.46","7,390.61","7,390.61",-
12-Nov-20,"7,343.57","7,356.58","7,252.72","7,290.69","7,290.69",-
11-Nov-20,"7,343.21","7,380.13","7,330.44","7,362.65","7,362.65",-
10-Nov-20,"7,302.06","7,330.83","7,237.70","7,306.75","7,306.75",-
9-Nov-20,"7,382.81","7,511.31","7,311.15","7,315.77","7,315.77",-
6-Nov-20,"7,228.26","7,254.24","7,178.81","7,230.51","7,230.51",-
5-Nov-20,"7,180.78","7,269.90","7,180.78","7,231.67","7,231.67",-
4-Nov-20,"7,016.15","7,179.92","7,014.63","7,092.30","7,092.30",-
3-Nov-20,"6,871.53","6,981.17","6,871.53","6,939.30","6,939.30",-
2-Nov-20,"6,788.96","6,858.65","6,755.13","6,817.89","6,817.89",-
30-Oct-20,"6,783.49","6,806.43","6,660.69","6,734.84","6,734.84",-
29-Oct-20,"6,748.97","6,880.28","6,713.58","6,816.79","6,816.79",-
28-Oct-20,"6,882.88","6,882.88","6,731.90","6,735.75","6,735.75",-
27-Oct-20,"7,007.80","7,020.45","6,978.18","6,982.14","6,982.14",-
26-Oct-20,"7,086.50","7,086.50","6,928.88","7,003.21","7,003.21",-
23-Oct-20,"7,134.80","7,137.66","7,084.80","7,135.81","7,135.81",-
22-Oct-20,"7,080.30","7,125.47","7,032.96","7,111.17","7,111.17",-
21-Oct-20,"7,082.61","7,133.86","7,068.59","7,073.65","7,073.65",-
20-Oct-20,"7,081.37","7,158.67","7,073.88","7,089.06","7,089.06",-
19-Oct-20,"7,192.99","7,210.94","7,041.71","7,055.58","7,055.58",-
16-Oct-20,"7,192.66","7,238.33","7,170.73","7,172.70","7,172.70",-
15-Oct-20,"7,110.62","7,183.39","7,084.63","7,171.61","7,171.61",-
14-Oct-20,"7,237.56","7,263.23","7,165.71","7,182.38","7,182.38",-
13-Oct-20,"7,275.00","7,275.00","7,206.83","7,229.55","7,229.55",-
12-Oct-20,"7,205.03","7,307.55","7,205.03","7,275.43","7,275.43",-
9-Oct-20,"7,121.98","7,168.48","7,118.69","7,157.94","7,157.94",-
8-Oct-20,"7,069.58","7,096.10","7,056.97","7,095.40","7,095.40",-
7-Oct-20,"6,965.12","7,050.90","6,965.12","7,036.89","7,036.89",-
6-Oct-20,"7,014.74","7,061.56","6,903.47","6,916.43","6,916.43",-
5-Oct-20,"6,929.14","7,015.99","6,929.14","7,014.17","7,014.17",-
2-Oct-20,"6,870.09","6,932.14","6,839.04","6,889.60","6,889.60",-
1-Oct-20,"6,966.63","6,989.43","6,916.53","6,956.20","6,956.20",-
30-Sep-20,"6,874.01","6,981.61","6,872.50","6,918.83","6,918.83",-
29-Sep-20,"6,893.74","6,908.12","6,845.82","6,861.96","6,861.96",-
28-Sep-20,"6,857.87","6,913.07","6,855.90","6,894.27","6,894.27",-
25-Sep-20,"6,657.83","6,802.14","6,642.04","6,784.95","6,784.95",-
24-Sep-20,"6,635.98","6,744.00","6,602.36","6,678.04","6,678.04",-
23-Sep-20,"6,828.92","6,835.21","6,649.24","6,657.82","6,657.82",-
22-Sep-20,"6,778.33","6,828.67","6,727.32","6,819.08","6,819.08",-
21-Sep-20,"6,757.35","6,757.35","6,641.33","6,748.08","6,748.08",-
18-Sep-20,"6,904.68","6,913.83","6,771.06","6,826.72","6,826.72",-
17-Sep-20,"6,882.96","6,940.99","6,845.90","6,903.82","6,903.82",-
16-Sep-20,"7,015.21","7,051.51","6,960.53","6,962.29","6,962.29",-
15-Sep-20,"7,007.77","7,031.43","6,969.87","6,994.33","6,994.33",-
14-Sep-20,"6,916.83","6,997.51","6,916.83","6,957.91","6,957.91",-
11-Sep-20,"6,892.34","6,924.81","6,805.53","6,868.22","6,868.22",-
10-Sep-20,"7,015.06","7,041.75","6,844.42","6,864.23","6,864.23",-
9-Sep-20,"6,926.86","7,039.71","6,920.95","6,986.76","6,986.76",-
8-Sep-20,"6,930.72","6,946.92","6,843.17","6,848.42","6,848.42",-
4-Sep-20,"7,098.38","7,150.44","6,886.63","7,043.62","7,043.62",-
