Date,Open,High,Low,Close*,Adj Close**,Volume
1-Nov-16,"4,050.74","4,224.90","3,967.38","4,195.73","4,195.73",-
1-Oct-16,"4,114.09","4,126.36","4,022.62","4,045.89","4,045.89",-
1-Sep-16,"4,121.06","4,153.66","4,023.89","4,121.06","4,121.06",-
1-Aug-16,"4,113.66","4,160.49","4,065.38","4,120.29","4,120.29",-
1-Jul-16,"3,969.85","4,121.11","3,923.65","4,114.51","4,114.51",-
1-Jun-16,"3,952.93","4,004.69","3,764.35","3,968.21","3,968.21",-
1-May-16,"3,891.68","3,970.23","3,821.53","3,957.95","3,957.95",-
1-Apr-16,"3,867.28","3,973.53","3,826.77","3,888.13","3,888.13",-
1-Mar-16,"3,636.25","3,896.50","3,636.25","3,873.11","3,873.11",-
1-Feb-16,"3,625.89","3,684.39","3,393.43","3,627.06","3,627.06",-
1-Jan-16,"3,811.74","3,811.74","3,391.77","3,631.96","3,631.96",-
1-Dec-15,"3,887.86","3,928.49","3,723.72","3,821.60","3,821.60",-
1-Nov-15,"3,873.94","3,940.51","3,765.58","3,882.84","3,882.84",-
1-Oct-15,"3,569.72","3,899.13","3,522.15","3,871.33","3,871.33",-
1-Sep-15,"3,657.04","3,755.47","3,480.54","3,570.17","3,570.17",-
1-Aug-15,"3,897.01","3,913.73","3,464.03","3,660.75","3,660.75",-
1-Jul-15,"3,823.98","3,947.73","3,781.63","3,895.80","3,895.80",-
1-Jun-15,"3,893.88","3,937.37","3,803.31","3,815.85","3,815.85",-
1-May-15,"3,845.23","3,939.46","3,811.27","3,891.18","3,891.18",-
1-Apr-15,"3,805.27","3,915.37","3,769.88","3,841.78","3,841.78",-
1-Mar-15,"3,867.98","3,890.52","3,750.29","3,805.27","3,805.27",-
1-Feb-15,"3,659.45","3,893.44","3,630.70","3,866.42","3,866.42",-
1-Jan-15,"3,776.49","3,794.52","3,642.50","3,656.28","3,656.28",-
1-Dec-14,"3,775.87","3,832.37","3,608.74","3,769.44","3,769.44",-
1-Nov-14,"3,680.31","3,792.15","3,648.97","3,778.96","3,778.96",-
