Date,Open,High,Low,Close*,Adj Close**,Volume
9-Jan-17,"4,347.58","4,358.45","4,311.22","4,350.11","4,350.11",-
2-Jan-17,"4,303.12","4,363.83","4,290.85","4,354.05","4,354.05",-
26-Dec-16,"4,329.87","4,344.26","4,268.71","4,278.66","4,278.66",-
19-Dec-16,"4,314.73","4,340.76","4,310.05","4,325.17","4,325.17",-
12-Dec-16,"4,312.50","4,348.89","4,294.13","4,312.40","4,312.40",-
5-Dec-16,"4,199.83","4,314.10","4,198.68","4,313.61","4,313.61",-
28-Nov-16,"4,215.58","4,224.90","4,174.22","4,182.81","4,182.81",-
21-Nov-16,"4,169.27","4,221.03","4,169.27","4,221.02","4,221.02",-
14-Nov-16,"4,126.55","4,175.75","4,108.41","4,160.58","4,160.58",-
7-Nov-16,"3,999.41","4,157.52","3,999.41","4,123.69","4,123.69",-
31-Oct-16,"4,052.79","4,059.34","3,967.38","3,970.02","3,970.02",-
24-Oct-16,"4,087.84","4,099.76","4,033.03","4,046.36","4,046.36",-
17-Oct-16,"4,057.33","4,087.39","4,041.20","4,073.85","4,073.85",-
10-Oct-16,"4,108.90","4,126.36","4,022.62","4,057.28","4,057.28",-
3-Oct-16,"4,114.09","4,119.26","4,075.85","4,096.25","4,096.25",-
26-Sep-16,"4,101.35","4,134.42","4,069.32","4,121.06","4,121.06",-
19-Sep-16,"4,073.20","4,141.69","4,057.85","4,112.69","4,112.69",-
12-Sep-16,"4,026.98","4,107.51","4,023.89","4,063.97","4,063.97",-
5-Sep-16,"4,140.87","4,153.66","4,039.95","4,039.95","4,039.95",-
29-Aug-16,"4,117.42","4,146.93","4,094.03","4,137.70","4,137.70",-
22-Aug-16,"4,137.96","4,160.49","4,098.29","4,114.68","4,114.68",-
15-Aug-16,"4,143.98","4,158.63","4,112.47","4,142.23","4,142.23",-
8-Aug-16,"4,136.63","4,147.74","4,116.08","4,139.63","4,139.63",-
1-Aug-16,"4,113.66","4,134.56","4,065.38","4,134.56","4,134.56",-
25-Jul-16,"4,114.03","4,121.11","4,086.75","4,114.51","4,114.51",-
18-Jul-16,"4,091.22","4,117.55","4,085.58","4,116.50","4,116.50",-
11-Jul-16,"4,033.20","4,104.26","4,033.20","4,090.49","4,090.49",-
4-Jul-16,"3,962.02","4,033.10","3,923.65","4,029.75","4,029.75",-
27-Jun-16,"3,839.44","3,987.54","3,764.35","3,976.68","3,976.68",-
20-Jun-16,"3,922.42","3,994.18","3,841.77","3,850.70","3,850.70",-
13-Jun-16,"3,951.70","3,963.50","3,874.74","3,914.15","3,914.15",-
6-Jun-16,"3,966.55","4,004.69","3,947.14","3,958.68","3,958.68",-
30-May-16,"3,963.93","3,974.76","3,936.33","3,963.23","3,963.23",-
23-May-16,"3,871.71","3,961.67","3,862.36","3,961.67","3,961.67",-
16-May-16,"3,858.41","3,906.20","3,821.53","3,871.75","3,871.75",-
9-May-16,"3,875.99","3,927.50","3,851.62","3,858.17","3,858.17",-
2-May-16,"3,891.68","3,922.27","3,841.90","3,875.18","3,875.18",-
25-Apr-16,"3,932.84","3,952.92","3,863.66","3,888.13","3,888.13",-
18-Apr-16,"3,912.66","3,973.53","3,902.99","3,937.00","3,937.00",-
11-Apr-16,"3,857.68","3,929.51","3,838.06","3,916.17","3,916.17",-
4-Apr-16,"3,899.28","3,900.82","3,826.77","3,852.72","3,852.72",-
28-Mar-16,"3,830.84","3,901.95","3,813.72","3,897.66","3,897.66",-
21-Mar-16,"3,848.98","3,865.93","3,802.03","3,827.14","3,827.14",-
14-Mar-16,"3,794.83","3,857.38","3,768.54","3,852.15","3,852.15",-
7-Mar-16,"3,748.44","3,800.34","3,699.59","3,800.07","3,800.07",-
29-Feb-16,"3,655.03","3,772.64","3,626.35","3,755.47","3,755.47",-
22-Feb-16,"3,610.41","3,684.39","3,548.14","3,656.42","3,656.42",-
15-Feb-16,"3,509.94","3,621.39","3,509.94","3,597.92","3,597.92",-
8-Feb-16,"3,509.19","3,526.66","3,393.43","3,496.28","3,496.28",-
1-Feb-16,"3,625.89","3,644.91","3,506.12","3,521.60","3,521.60",-
25-Jan-16,"3,567.76","3,631.96","3,505.18","3,631.96","3,631.96",-
18-Jan-16,"3,534.11","3,572.41","3,391.77","3,568.90","3,568.90",-
