,Credit Suisse Hedge Fund Index ,,,Credit Suisse Convertible Arbitrage Hedge Fund Index,,,Credit Suisse Dedicated Short Bias Hedge Fund Index,,,Credit Suisse Emerging Markets Hedge Fund Index,,,Credit Suisse Equity Market Neutral Hedge Fund Index,,,Credit Suisse Event Driven Hedge Fund Index,,,Credit Suisse Event Driven Distressed Hedge Fund Index,,,Credit Suisse Event Driven Multi-Strategy Hedge Fund Index,,,Credit Suisse Event Driven Risk Arbitrage Hedge Fund Index,,,Credit Suisse Fixed Income Arbitrage Hedge Fund Index,,,Credit Suisse Global Macro Hedge Fund Index,,,Credit Suisse Long/Short Equity Hedge Fund Index,,,Credit Suisse Managed Futures Hedge Fund Index,,,Credit Suisse Multi-Strategy Hedge Fund Index,,,Credit Suisse AllHedge Index,,,Credit Suisse AllHedge Convertible Arbitrage Index,,,Credit Suisse AllHedge Dedicated Short Bias Index,,,Credit Suisse AllHedge Emerging Markets Index,,,Credit Suisse AllHedge Equity Market Neutral Index,,,Credit Suisse AllHedge Event Driven Index,,,Credit Suisse AllHedge Fixed Income Arbitrage Index,,,Credit Suisse AllHedge Global Macro Index,,,Credit Suisse AllHedge Long/Short Equity Index,,,Credit Suisse AllHedge Managed Futures Index,,,Credit Suisse AllHedge Multi-Strategy Index,,
,HEDG,,,HEDG_CVARB,,,HEDG_DEDSH,,,HEDG_EMMKT,,,HEDG_EQNTR,,,HEDG_EVDRV,,,HEDG_DISTR,,,HEDG_MSEVD,,,HEDG_MRARB,,,HEDG_FIARB,,,HEDG_GLMAC,,,HEDG_LOSHO,,,HEDG_MGFUT,,,HEDG_MULTI,,,SECT,,,SECT_CVARB,,,SECT_DEDSH,,,SECT_EMMKT,,,SECT_EQNTR,,,SECT_EVDRV,,,SECT_FIARB,,,SECT_GLMAC,,,SECT_LOSHO,,,SECT_MGFUT,,,SECT_MULTI,,
Date,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR
10/31/2019,USD,618.33,0.34%,USD,476.02,0.13%,,,,USD,517.83,3.30%,USD,266.26,0.13%,USD,656.76,-0.18%,USD,819.85,0.29%,USD,589.53,-0.45%,USD,402.32,0.85%,USD,355.05,0.64%,USD,1018.46,-0.57%,USD,765.76,1.36%,USD,308.65,-3.00%,USD,612.88,0.62%,USD,138.01,-0.18%,USD,127.74,-0.05%,,,,USD,193.45,2.44%,USD,87.53,-0.16%,USD,150.61,-0.70%,USD,86.5,0.45%,USD,121.02,-0.67%,USD,162.07,0.99%,USD,160.88,-3.49%,USD,148.9,0.59%
9/30/2019,USD,616.22,-0.32%,USD,475.38,0.12%,,,,USD,501.31,-0.79%,USD,265.91,-1.07%,USD,657.94,-0.05%,USD,817.49,-0.39%,USD,592.2,0.04%,USD,398.91,0.60%,USD,352.8,0.55%,USD,1024.32,0.82%,USD,755.47,-0.12%,USD,318.21,-4.04%,USD,609.12,-0.31%,USD,138.26,-0.37%,USD,127.81,0.46%,,,,USD,188.84,0.13%,USD,87.67,-0.67%,USD,151.67,0.30%,USD,86.11,0.88%,USD,121.84,2.86%,USD,160.48,-1.17%,USD,166.7,-5.42%,USD,148.02,-0.31%
8/31/2019,USD,618.18,-0.14%,USD,474.81,-0.29%,,,,USD,505.31,-4.98%,USD,268.79,-0.46%,USD,658.27,-1.24%,USD,820.7,-1.64%,USD,591.98,-1.15%,USD,396.55,-0.30%,USD,350.86,-0.40%,USD,1015.99,0.33%,USD,756.41,-0.50%,USD,331.6,4.20%,USD,610.99,0.71%,USD,138.78,-0.29%,USD,127.23,-0.20%,,,,USD,188.59,-1.26%,USD,88.26,-1.75%,USD,151.22,-1.37%,USD,85.36,-1.07%,USD,118.45,-3.26%,USD,162.38,-0.10%,USD,176.25,5.41%,USD,148.48,0.34%
7/31/2019,USD,619.03,0.72%,USD,476.2,-0.23%,,,,USD,531.79,1.72%,USD,270.03,-0.21%,USD,666.54,-0.20%,USD,834.41,-1.47%,USD,598.85,0.31%,USD,397.75,-0.07%,USD,352.26,0.13%,USD,1012.69,0.96%,USD,760.2,0.73%,USD,318.22,3.53%,USD,606.68,0.28%,USD,139.18,1.14%,USD,127.49,-0.26%,,,,USD,190.99,0.37%,USD,89.83,-0.30%,USD,153.32,-1.03%,USD,86.28,-0.36%,USD,122.44,2.94%,USD,162.55,-0.03%,USD,167.2,4.28%,USD,147.97,0.22%
6/30/2019,USD,614.61,2.00%,USD,477.32,0.49%,,,,USD,522.8,3.65%,USD,270.61,0.50%,USD,667.86,1.62%,USD,846.83,0.96%,USD,596.98,1.97%,USD,398.01,0.61%,USD,351.81,0.67%,USD,1003.03,4.01%,USD,754.71,1.82%,USD,307.37,2.62%,USD,605.01,1.09%,USD,137.61,2.65%,USD,127.82,0.79%,,,,USD,190.28,3.61%,USD,90.1,1.27%,USD,154.91,1.10%,USD,86.59,0.87%,USD,118.94,7.10%,USD,162.6,2.52%,USD,160.34,2.12%,USD,147.64,-0.26%
5/31/2019,USD,602.57,-1.00%,USD,474.98,-0.35%,,,,USD,504.4,-2.37%,USD,269.26,1.69%,USD,657.2,-1.12%,USD,838.76,-1.58%,USD,585.42,-0.97%,USD,395.61,-0.39%,USD,349.47,0.19%,USD,964.34,-0.87%,USD,741.19,-2.36%,USD,299.51,-0.61%,USD,598.49,-0.04%,USD,134.06,-1.53%,USD,126.82,-1.04%,,,,USD,183.65,-4.29%,USD,88.97,1.48%,USD,153.23,-1.05%,USD,85.84,-0.22%,USD,111.05,-2.43%,USD,158.61,-2.18%,USD,157.01,-1.13%,USD,148.02,-0.65%
4/30/2019,USD,608.66,1.36%,USD,476.66,1.11%,,,,USD,516.64,0.21%,USD,264.79,-2.40%,USD,664.65,1.89%,USD,852.2,2.16%,USD,591.16,1.86%,USD,397.15,0.48%,USD,348.81,0.35%,USD,972.77,1.40%,USD,759.11,1.84%,USD,301.35,2.68%,USD,598.72,1.04%,USD,136.14,1.39%,USD,128.15,0.87%,,,,USD,191.89,1.47%,USD,87.67,-2.31%,USD,154.85,1.24%,USD,86.03,0.35%,USD,113.81,1.25%,USD,162.14,1.68%,USD,158.8,3.45%,USD,148.99,1.10%
3/31/2019,USD,600.5,1.09%,USD,471.45,0.30%,,,,USD,515.54,0.45%,USD,271.29,0.90%,USD,652.35,0.75%,USD,834.15,-0.07%,USD,580.37,1.13%,USD,395.24,0.23%,USD,347.59,0.34%,USD,959.35,1.53%,USD,745.42,0.30%,USD,293.49,4.57%,USD,592.53,1.22%,USD,134.27,2.20%,USD,127.04,-0.06%,,,,USD,189.11,1.23%,USD,89.74,0.46%,USD,152.95,0.20%,USD,85.73,-0.34%,USD,112.4,5.34%,USD,159.46,0.28%,USD,153.5,5.75%,USD,147.37,0.83%
2/28/2019,USD,594.02,1.08%,USD,470.06,0.59%,,,,USD,513.21,3.85%,USD,268.87,0.22%,USD,647.51,1.62%,USD,834.77,1.00%,USD,573.9,1.97%,USD,394.34,0.24%,USD,346.42,0.75%,USD,944.92,0.01%,USD,743.19,1.45%,USD,280.66,0.55%,USD,585.41,0.80%,USD,131.38,0.67%,USD,127.11,0.98%,,,,USD,186.81,2.88%,USD,89.33,-0.81%,USD,152.65,0.17%,USD,86.02,0.41%,USD,106.7,0.05%,USD,159.02,1.46%,USD,145.15,1.42%,USD,146.16,-0.14%
1/31/2019,USD,587.68,1.77%,USD,467.28,2.87%,,,,USD,494.2,3.73%,USD,268.28,1.41%,USD,637.21,2.52%,USD,826.48,1.21%,USD,562.84,3.15%,USD,393.38,1.43%,USD,343.83,1.09%,USD,944.84,1.06%,USD,732.59,3.53%,USD,279.12,-1.84%,USD,580.78,0.97%,USD,130.51,2.14%,USD,125.88,2.44%,,,,USD,181.58,4.70%,USD,90.06,2.31%,USD,152.39,2.03%,USD,85.67,1.11%,USD,106.65,4.86%,USD,156.73,3.86%,USD,143.12,-1.95%,USD,146.36,0.84%
