,Credit Suisse Hedge Fund Index ,,,Credit Suisse Convertible Arbitrage Hedge Fund Index,,,Credit Suisse Dedicated Short Bias Hedge Fund Index,,,Credit Suisse Emerging Markets Hedge Fund Index,,,Credit Suisse Equity Market Neutral Hedge Fund Index,,,Credit Suisse Event Driven Hedge Fund Index,,,Credit Suisse Event Driven Distressed Hedge Fund Index,,,Credit Suisse Event Driven Multi-Strategy Hedge Fund Index,,,Credit Suisse Event Driven Risk Arbitrage Hedge Fund Index,,,Credit Suisse Fixed Income Arbitrage Hedge Fund Index,,,Credit Suisse Global Macro Hedge Fund Index,,,Credit Suisse Long/Short Equity Hedge Fund Index,,,Credit Suisse Managed Futures Hedge Fund Index,,,Credit Suisse Multi-Strategy Hedge Fund Index,,,Credit Suisse AllHedge Index,,,Credit Suisse AllHedge Convertible Arbitrage Index,,,Credit Suisse AllHedge Dedicated Short Bias Index,,,Credit Suisse AllHedge Emerging Markets Index,,,Credit Suisse AllHedge Equity Market Neutral Index,,,Credit Suisse AllHedge Event Driven Index,,,Credit Suisse AllHedge Fixed Income Arbitrage Index,,,Credit Suisse AllHedge Global Macro Index,,,Credit Suisse AllHedge Long/Short Equity Index,,,Credit Suisse AllHedge Managed Futures Index,,,Credit Suisse AllHedge Multi-Strategy Index,,
,HEDG,,,HEDG_CVARB,,,HEDG_DEDSH,,,HEDG_EMMKT,,,HEDG_EQNTR,,,HEDG_EVDRV,,,HEDG_DISTR,,,HEDG_MSEVD,,,HEDG_MRARB,,,HEDG_FIARB,,,HEDG_GLMAC,,,HEDG_LOSHO,,,HEDG_MGFUT,,,HEDG_MULTI,,,SECT,,,SECT_CVARB,,,SECT_DEDSH,,,SECT_EMMKT,,,SECT_EQNTR,,,SECT_EVDRV,,,SECT_FIARB,,,SECT_GLMAC,,,SECT_LOSHO,,,SECT_MGFUT,,,SECT_MULTI,,
Date,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR
7/31/2015,USD,569.89,0.87%,USD,419.68,-1.04%,USD,28.66,3.88%,USD,438.51,-2.01%,USD,265.06,0.56%,USD,646.64,0.18%,USD,761.35,-0.74%,USD,595.08,0.53%,USD,349.72,-0.76%,USD,304.26,0.30%,USD,917.43,1.26%,USD,687.49,1.52%,USD,319.88,4.33%,USD,523.33,1.00%,USD,134.64,0.94%,USD,118.29,-1.01%,USD,39.2,3.79%,USD,174.2,-0.17%,USD,85.48,1.15%,USD,155.59,-0.40%,USD,79.99,0.82%,USD,109.73,1.64%,USD,149.95,1.37%,USD,173.94,4.51%,USD,139.48,1.33%
6/30/2015,USD,564.96,-1.31%,USD,424.08,-0.75%,USD,27.59,-0.18%,USD,447.5,-2.25%,USD,263.59,1.55%,USD,645.47,-1.24%,USD,766.99,-1.22%,USD,591.96,-1.25%,USD,352.39,-0.17%,USD,303.35,-0.21%,USD,905.97,-1.76%,USD,677.2,-0.46%,USD,306.6,-5.81%,USD,518.15,-0.42%,USD,133.38,-2.21%,USD,119.5,-0.99%,USD,37.77,-0.94%,USD,174.49,-3.78%,USD,84.51,1.32%,USD,156.22,-2.21%,USD,79.34,-0.81%,USD,107.96,-2.38%,USD,147.93,-2.40%,USD,166.44,-6.35%,USD,137.65,-1.06%
5/31/2015,USD,572.48,0.83%,USD,427.29,0.52%,USD,27.64,-0.83%,USD,457.79,0.37%,USD,259.57,1.00%,USD,653.55,0.85%,USD,776.43,0.31%,USD,599.47,1.04%,USD,352.99,1.06%,USD,303.99,0.48%,USD,922.18,0.71%,USD,680.34,2.15%,USD,325.51,-0.84%,USD,520.31,0.65%,USD,136.39,0.57%,USD,120.69,0.33%,USD,38.13,-1.55%,USD,181.35,0.02%,USD,83.41,0.29%,USD,159.75,0.93%,USD,79.99,0.04%,USD,110.59,1.06%,USD,151.56,1.00%,USD,177.73,-1.53%,USD,139.13,0.17%
4/30/2015,USD,567.79,0.02%,USD,425.07,2.73%,USD,27.87,-3.86%,USD,456.09,3.36%,USD,257,-0.44%,USD,648.07,0.85%,USD,774.06,0.57%,USD,593.29,0.96%,USD,349.28,0.81%,USD,302.54,0.63%,USD,915.65,-0.75%,USD,666.03,-0.02%,USD,328.28,-4.29%,USD,516.94,0.01%,USD,135.62,-0.29%,USD,120.29,2.92%,USD,38.73,-2.62%,USD,181.32,4.90%,USD,83.17,1.37%,USD,158.28,0.20%,USD,79.96,-0.36%,USD,109.43,-2.17%,USD,150.06,0.33%,USD,180.49,-4.43%,USD,138.9,-0.22%
3/31/2015,USD,567.67,0.60%,USD,413.77,-0.27%,USD,28.99,-0.31%,USD,441.25,0.74%,USD,258.13,-0.21%,USD,642.61,0.36%,USD,769.71,0.09%,USD,587.67,0.48%,USD,346.49,0.04%,USD,300.65,-0.08%,USD,922.56,1.30%,USD,666.13,-0.42%,USD,342.99,2.40%,USD,516.89,1.05%,USD,136.01,0.43%,USD,116.88,-0.44%,USD,39.77,-0.43%,USD,172.85,1.35%,USD,82.05,0.06%,USD,157.96,0.36%,USD,80.25,-0.57%,USD,111.86,0.01%,USD,149.57,0.34%,USD,188.85,2.45%,USD,139.2,0.61%
2/28/2015,USD,564.29,1.06%,USD,414.91,0.95%,USD,29.08,-5.74%,USD,437.99,-0.04%,USD,258.67,-1.90%,USD,640.28,2.25%,USD,769,1.23%,USD,584.87,2.67%,USD,346.35,1.50%,USD,300.88,0.74%,USD,910.69,0.42%,USD,668.97,1.99%,USD,334.95,-1.15%,USD,511.51,0.72%,USD,135.43,0.93%,USD,117.4,0.72%,USD,39.94,-6.07%,USD,170.55,0.15%,USD,82,-0.49%,USD,157.39,2.35%,USD,80.71,0.24%,USD,111.85,-0.69%,USD,149.06,2.16%,USD,184.34,-0.76%,USD,138.36,1.21%
1/31/2015,USD,558.39,0.81%,USD,410.99,-0.21%,USD,30.85,1.88%,USD,438.18,0.66%,USD,263.69,-0.37%,USD,626.22,-1.00%,USD,759.68,-1.05%,USD,569.65,-0.99%,USD,341.24,-0.85%,USD,298.66,-0.81%,USD,906.87,2.69%,USD,655.94,0.28%,USD,338.86,6.02%,USD,507.86,1.19%,USD,134.18,0.46%,USD,116.56,-0.27%,USD,42.52,2.51%,USD,170.29,1.22%,USD,82.4,-0.50%,USD,153.77,-1.32%,USD,80.52,0.02%,USD,112.63,1.13%,USD,145.91,-0.35%,USD,185.76,6.73%,USD,136.71,0.77%
12/31/2014,USD,553.92,0.01%,USD,411.86,-1.15%,USD,30.28,0.90%,USD,435.31,0.19%,USD,264.66,-0.69%,USD,632.57,-0.55%,USD,767.72,-0.49%,USD,575.33,-0.57%,USD,344.15,0.08%,USD,301.09,-0.07%,USD,883.12,-0.25%,USD,654.08,0.35%,USD,319.61,1.67%,USD,501.9,0.41%,USD,133.57,0.19%,USD,116.88,-1.19%,USD,41.48,0.73%,USD,168.23,0.36%,USD,82.81,-0.18%,USD,155.83,-0.61%,USD,80.5,-0.19%,USD,111.37,0.81%,USD,146.42,-0.02%,USD,174.04,2.78%,USD,135.67,0.08%
11/30/2014,USD,553.85,1.50%,USD,416.64,-0.10%,USD,30.01,0.64%,USD,434.5,1.71%,USD,266.49,0.57%,USD,636.04,0.55%,USD,771.52,0.14%,USD,578.65,0.73%,USD,343.87,0.57%,USD,301.29,0.21%,USD,885.36,1.65%,USD,651.78,1.89%,USD,314.37,7.50%,USD,499.86,1.22%,USD,133.32,1.43%,USD,118.29,-0.19%,USD,41.18,1.40%,USD,167.63,1.85%,USD,82.96,1.12%,USD,156.78,0.86%,USD,80.65,0.00%,USD,110.47,0.87%,USD,146.45,1.56%,USD,169.33,7.72%,USD,135.56,1.41%
10/31/2014,USD,545.68,-0.80%,USD,417.04,-1.79%,USD,29.82,-3.99%,USD,427.2,-1.12%,USD,264.98,0.45%,USD,632.53,-2.16%,USD,770.44,-1.96%,USD,574.44,-2.24%,USD,341.92,-2.35%,USD,300.67,-0.10%,USD,870.97,-0.92%,USD,639.71,0.01%,USD,292.43,1.81%,USD,493.85,-0.49%,USD,131.44,-1.56%,USD,118.51,-1.69%,USD,40.61,-4.56%,USD,164.58,0.21%,USD,82.04,0.66%,USD,155.44,-3.97%,USD,80.65,0.32%,USD,109.52,-2.49%,USD,144.2,-1.21%,USD,157.2,2.56%,USD,133.68,-0.37%
9/30/2014,USD,550.08,-0.01%,USD,424.66,-0.69%,USD,31.06,4.68%,USD,432.03,0.14%,USD,263.78,-0.28%,USD,646.51,-1.37%,USD,785.88,-0.70%,USD,587.63,-1.65%,USD,350.15,-1.49%,USD,300.96,0.42%,USD,879.02,0.54%,USD,639.67,-0.18%,USD,287.23,1.72%,USD,496.28,0.98%,USD,133.52,-0.37%,USD,120.55,-0.41%,USD,42.55,5.87%,USD,164.24,0.29%,USD,81.5,-1.14%,USD,161.86,-2.74%,USD,80.39,0.19%,USD,112.32,0.37%,USD,145.97,-0.51%,USD,153.27,1.59%,USD,134.17,1.18%
8/31/2014,USD,550.14,0.88%,USD,427.61,-0.28%,USD,29.67,-3.13%,USD,431.41,0.31%,USD,264.53,-0.02%,USD,655.47,0.12%,USD,791.45,-0.48%,USD,597.49,0.38%,USD,355.46,0.22%,USD,299.7,0.18%,USD,874.28,1.13%,USD,640.81,1.29%,USD,282.36,5.02%,USD,491.45,0.83%,USD,134.01,0.55%,USD,121.05,-0.41%,USD,40.19,-3.74%,USD,163.77,1.78%,USD,82.44,-0.61%,USD,166.42,0.05%,USD,80.24,0.40%,USD,111.91,-0.07%,USD,146.72,0.40%,USD,150.87,5.14%,USD,132.61,0.40%
7/31/2014,USD,545.35,-0.31%,USD,428.83,0.06%,USD,30.63,2.00%,USD,430.06,0.45%,USD,264.57,-0.70%,USD,654.68,-0.59%,USD,795.28,-0.19%,USD,595.21,-0.77%,USD,354.68,-1.40%,USD,299.16,0.30%,USD,864.47,-0.01%,USD,632.62,-0.97%,USD,268.86,-1.03%,USD,487.4,0.13%,USD,133.28,-0.37%,USD,121.55,0.16%,USD,41.75,3.04%,USD,160.9,2.30%,USD,82.95,-1.34%,USD,166.34,-1.70%,USD,79.92,-0.08%,USD,111.99,0.44%,USD,146.14,-0.64%,USD,143.49,-0.89%,USD,132.08,-0.11%
6/30/2014,USD,547.04,0.96%,USD,428.58,0.05%,USD,30.03,-4.82%,USD,428.12,1.14%,USD,266.44,0.70%,USD,658.59,1.66%,USD,796.8,1.41%,USD,599.8,1.77%,USD,359.72,1.27%,USD,298.28,0.40%,USD,864.56,0.53%,USD,638.79,1.01%,USD,271.65,1.54%,USD,486.75,0.45%,USD,133.77,0.87%,USD,121.35,-0.19%,USD,40.52,-5.42%,USD,157.28,0.32%,USD,84.08,0.13%,USD,169.21,2.02%,USD,79.98,0.05%,USD,111.5,1.25%,USD,147.08,0.26%,USD,144.78,1.59%,USD,132.22,-0.24%
5/31/2014,USD,541.85,1.13%,USD,428.37,-0.52%,USD,31.55,-1.10%,USD,423.3,1.35%,USD,264.58,-0.27%,USD,647.84,1.07%,USD,785.72,1.45%,USD,589.36,0.90%,USD,355.22,0.56%,USD,297.1,0.45%,USD,860.02,1.02%,USD,632.42,1.51%,USD,267.54,3.09%,USD,484.57,0.89%,USD,132.62,0.90%,USD,121.58,-0.86%,USD,42.84,-1.24%,USD,156.78,1.67%,USD,83.97,-0.86%,USD,165.86,0.52%,USD,79.94,-0.03%,USD,110.12,0.85%,USD,146.7,1.40%,USD,142.51,3.41%,USD,132.54,0.77%
4/30/2014,USD,535.79,-0.21%,USD,430.6,0.33%,USD,31.9,3.77%,USD,417.66,-0.58%,USD,265.3,-0.70%,USD,641,0.03%,USD,774.48,0.37%,USD,584.13,-0.14%,USD,353.23,0.55%,USD,295.76,0.44%,USD,851.31,0.01%,USD,623.04,-1.03%,USD,259.52,0.42%,USD,480.28,-0.43%,USD,131.44,-0.24%,USD,122.63,0.22%,USD,43.38,4.30%,USD,154.2,1.07%,USD,84.7,-0.67%,USD,165,-0.07%,USD,79.96,-0.07%,USD,109.19,0.14%,USD,144.68,-1.84%,USD,137.81,0.83%,USD,131.53,-0.36%
3/31/2014,USD,536.9,-0.48%,USD,429.2,0.22%,USD,30.74,0.56%,USD,420.1,-1.51%,USD,267.18,-0.59%,USD,640.82,-0.14%,USD,771.6,0.60%,USD,584.93,-0.48%,USD,351.31,-0.68%,USD,294.47,0.41%,USD,851.21,-0.24%,USD,629.51,-1.19%,USD,258.43,-1.82%,USD,482.34,-0.26%,USD,131.75,-0.97%,USD,122.36,0.37%,USD,41.59,1.19%,USD,152.57,-0.42%,USD,85.27,-0.98%,USD,165.11,-1.19%,USD,80.02,0.02%,USD,109.04,-0.85%,USD,147.39,-2.46%,USD,136.68,-1.73%,USD,132,0.18%
2/28/2014,USD,539.51,1.72%,USD,428.25,0.14%,USD,30.57,-3.66%,USD,426.53,1.79%,USD,268.76,0.26%,USD,641.72,2.75%,USD,766.97,2.04%,USD,587.74,3.08%,USD,353.73,0.93%,USD,293.27,0.66%,USD,853.29,0.69%,USD,637.07,2.88%,USD,263.22,0.94%,USD,483.61,1.41%,USD,133.04,1.39%,USD,121.91,-0.78%,USD,41.1,-4.04%,USD,153.22,1.38%,USD,86.11,1.13%,USD,167.1,3.54%,USD,80,0.43%,USD,109.98,-0.88%,USD,151.1,2.66%,USD,139.09,1.30%,USD,131.76,0.96%
1/31/2014,USD,530.41,-0.29%,USD,427.65,2.09%,USD,31.73,-1.09%,USD,419.01,-2.27%,USD,268.07,0.08%,USD,624.57,0.29%,USD,751.63,0.40%,USD,570.18,0.24%,USD,350.48,0.49%,USD,291.36,1.00%,USD,847.46,-1.05%,USD,619.23,-0.08%,USD,260.78,-3.42%,USD,476.9,0.81%,USD,131.22,-0.74%,USD,122.87,2.68%,USD,42.83,0.16%,USD,151.14,-2.40%,USD,85.15,0.12%,USD,161.38,0.94%,USD,79.66,0.15%,USD,110.96,-1.76%,USD,147.18,-1.72%,USD,137.3,-4.01%,USD,130.51,0.51%
12/31/2013,USD,531.93,1.19%,USD,418.88,0.54%,USD,32.08,-0.77%,USD,428.76,1.28%,USD,267.85,1.30%,USD,622.78,1.61%,USD,748.63,1.94%,USD,568.84,1.47%,USD,348.76,0.39%,USD,288.48,0.18%,USD,856.49,0.71%,USD,619.71,1.80%,USD,270.02,0.10%,USD,473.09,1.63%,USD,132.2,0.95%,USD,119.66,0.02%,USD,42.76,-1.32%,USD,154.86,0.11%,USD,85.05,1.30%,USD,159.87,1.52%,USD,79.54,-0.04%,USD,112.95,0.77%,USD,149.75,2.48%,USD,143.04,-0.90%,USD,129.85,0.68%
11/30/2013,USD,525.65,1.31%,USD,416.65,-0.20%,USD,32.33,-1.49%,USD,423.33,1.08%,USD,264.42,2.59%,USD,612.92,1.68%,USD,734.37,1.55%,USD,560.62,1.74%,USD,347.41,0.10%,USD,287.96,0.50%,USD,850.48,1.03%,USD,608.75,1.85%,USD,269.74,2.09%,USD,465.48,0.86%,USD,130.95,1.19%,USD,119.64,-0.46%,USD,43.33,-2.15%,USD,154.69,1.46%,USD,83.96,-0.26%,USD,157.47,2.31%,USD,79.57,0.04%,USD,112.09,0.42%,USD,146.13,1.61%,USD,144.34,2.05%,USD,128.97,0.78%
10/31/2013,USD,518.86,1.59%,USD,417.5,0.92%,USD,32.82,-1.65%,USD,418.79,2.01%,USD,257.75,1.17%,USD,602.81,1.45%,USD,723.19,1.53%,USD,551.01,1.41%,USD,347.05,0.57%,USD,286.54,0.61%,USD,841.81,1.01%,USD,597.7,2.54%,USD,264.21,2.96%,USD,461.5,1.77%,USD,129.41,0.98%,USD,120.19,0.75%,USD,44.28,-1.64%,USD,152.47,2.29%,USD,84.18,-0.09%,USD,153.91,0.71%,USD,79.54,-0.05%,USD,111.62,0.94%,USD,143.81,0.94%,USD,141.44,3.44%,USD,127.97,0.61%
9/30/2013,USD,510.72,1.27%,USD,413.68,0.24%,USD,33.37,-5.52%,USD,410.52,1.28%,USD,254.77,0.91%,USD,594.22,1.45%,USD,712.28,1.38%,USD,543.34,1.49%,USD,345.1,0.81%,USD,284.8,0.51%,USD,833.36,0.84%,USD,582.87,2.64%,USD,256.62,-0.15%,USD,453.46,1.42%,USD,128.16,1.01%,USD,119.3,-0.18%,USD,45.02,-4.80%,USD,149.05,1.48%,USD,84.26,0.33%,USD,152.83,1.21%,USD,79.58,-0.38%,USD,110.58,0.36%,USD,142.47,3.45%,USD,136.73,-0.19%,USD,127.19,0.27%
8/31/2013,USD,504.3,-0.54%,USD,412.71,0.72%,USD,35.32,0.03%,USD,405.34,-0.24%,USD,252.48,-1.72%,USD,585.72,-0.04%,USD,702.61,-0.48%,USD,535.36,0.16%,USD,342.32,0.01%,USD,283.36,0.21%,USD,826.43,-0.92%,USD,567.88,-1.11%,USD,257,-2.77%,USD,447.1,0.08%,USD,126.88,-0.46%,USD,119.51,0.71%,USD,47.29,-1.17%,USD,146.88,-0.44%,USD,83.98,-1.27%,USD,151.01,0.18%,USD,79.88,-0.71%,USD,110.18,-0.57%,USD,137.72,-0.60%,USD,136.99,-2.44%,USD,126.85,-0.15%
7/31/2013,USD,507.05,0.88%,USD,409.77,-0.08%,USD,35.31,-5.74%,USD,406.32,-0.09%,USD,256.91,2.02%,USD,585.97,1.51%,USD,706.01,1.31%,USD,534.49,1.61%,USD,342.29,0.99%,USD,282.77,0.38%,USD,834.14,0.26%,USD,574.28,1.95%,USD,264.33,-1.06%,USD,446.74,1.16%,USD,127.46,0.74%,USD,118.67,-0.41%,USD,47.85,-6.03%,USD,147.53,0.07%,USD,85.06,1.29%,USD,150.74,1.92%,USD,80.45,-0.11%,USD,110.81,-0.35%,USD,138.55,2.35%,USD,140.42,-1.23%,USD,127.04,0.44%
6/30/2013,USD,502.62,-1.66%,USD,410.1,-0.33%,USD,37.46,0.81%,USD,406.69,-2.64%,USD,251.83,0.57%,USD,577.23,-1.31%,USD,696.88,-0.86%,USD,526.02,-1.53%,USD,338.92,0.17%,USD,281.69,-1.14%,USD,831.95,-2.48%,USD,563.28,-0.63%,USD,267.17,-5.42%,USD,441.61,-0.74%,USD,126.52,-1.77%,USD,119.16,-0.48%,USD,50.92,-0.12%,USD,147.42,-4.79%,USD,83.98,0.12%,USD,147.9,-0.92%,USD,80.54,-0.78%,USD,111.2,-1.80%,USD,135.37,-1.28%,USD,142.17,-5.80%,USD,126.48,-1.48%
5/31/2013,USD,511.08,0.42%,USD,411.46,1.30%,USD,37.16,-1.51%,USD,417.71,-0.20%,USD,250.41,0.40%,USD,584.9,2.27%,USD,702.95,2.38%,USD,534.2,2.23%,USD,338.34,0.80%,USD,284.94,0.01%,USD,853.12,-0.05%,USD,566.83,1.19%,USD,282.49,-4.98%,USD,444.9,0.37%,USD,128.8,0.03%,USD,119.73,1.32%,USD,50.98,-2.09%,USD,154.83,-0.41%,USD,83.88,-0.97%,USD,149.28,1.56%,USD,81.17,-0.71%,USD,113.24,-0.83%,USD,137.13,1.41%,USD,150.93,-4.04%,USD,128.38,0.08%
4/30/2013,USD,508.95,1.39%,USD,406.19,0.14%,USD,37.73,-3.45%,USD,418.55,1.62%,USD,249.42,1.01%,USD,571.89,1.20%,USD,686.64,1.34%,USD,522.53,1.13%,USD,335.67,0.65%,USD,284.91,0.34%,USD,853.56,1.77%,USD,560.16,1.26%,USD,297.3,3.50%,USD,443.26,1.09%,USD,128.76,1.12%,USD,118.17,-0.16%,USD,52.07,-2.85%,USD,155.46,1.81%,USD,84.7,0.80%,USD,146.99,1.02%,USD,81.75,0.59%,USD,114.19,0.85%,USD,135.22,1.06%,USD,157.29,3.83%,USD,128.28,0.70%
3/31/2013,USD,501.99,1.21%,USD,405.62,0.72%,USD,39.08,-1.91%,USD,411.86,0.55%,USD,246.93,0.05%,USD,565.13,2.11%,USD,677.57,2.18%,USD,516.69,2.08%,USD,333.51,0.39%,USD,283.95,0.61%,USD,838.74,0.97%,USD,553.2,1.38%,USD,287.24,1.74%,USD,438.49,0.62%,USD,127.34,1.16%,USD,118.36,0.60%,USD,53.6,-1.54%,USD,152.7,-0.31%,USD,84.03,-1.62%,USD,145.5,2.35%,USD,81.27,0.31%,USD,113.23,0.94%,USD,133.8,1.38%,USD,151.49,1.43%,USD,127.39,0.65%
2/28/2013,USD,495.98,0.24%,USD,402.71,-0.07%,USD,39.84,-1.65%,USD,409.62,0.49%,USD,246.81,-1.28%,USD,553.46,0.46%,USD,663.09,1.04%,USD,506.15,0.19%,USD,332.2,-0.06%,USD,282.24,0.49%,USD,830.68,0.29%,USD,545.66,0.12%,USD,282.33,-0.77%,USD,435.78,0.38%,USD,125.88,-0.26%,USD,117.65,-0.03%,USD,54.44,-1.47%,USD,153.18,-0.78%,USD,85.41,-2.15%,USD,142.16,-0.34%,USD,81.02,0.16%,USD,112.17,-0.56%,USD,131.98,0.08%,USD,149.35,-0.67%,USD,126.57,0.43%
1/31/2013,USD,494.8,2.07%,USD,402.98,2.01%,USD,40.51,-5.22%,USD,407.63,3.45%,USD,250.02,1.99%,USD,550.95,2.15%,USD,656.28,1.69%,USD,505.21,2.39%,USD,332.4,-0.03%,USD,280.87,1.06%,USD,828.24,0.88%,USD,545.01,3.54%,USD,284.52,2.67%,USD,434.11,2.07%,USD,126.21,1.86%,USD,117.68,1.84%,USD,55.25,-4.38%,USD,154.39,3.65%,USD,87.29,2.55%,USD,142.65,2.10%,USD,80.89,0.52%,USD,112.8,0.28%,USD,131.88,3.92%,USD,150.36,2.47%,USD,126.03,0.81%
12/31/2012,USD,484.78,1.48%,USD,395.05,1.38%,USD,42.74,-2.95%,USD,394.03,2.38%,USD,245.13,0.86%,USD,539.36,1.98%,USD,645.39,1.91%,USD,493.43,2.01%,USD,332.5,1.51%,USD,277.93,0.68%,USD,821,1.27%,USD,526.36,1.58%,USD,277.11,1.08%,USD,425.31,1.37%,USD,123.9,1.32%,USD,115.55,1.32%,USD,57.78,-2.87%,USD,148.95,3.02%,USD,85.12,0.60%,USD,139.71,1.86%,USD,80.47,0.52%,USD,112.49,0.50%,USD,126.91,1.72%,USD,146.74,0.73%,USD,125.02,1.30%
11/30/2012,USD,477.7,0.64%,USD,389.69,0.22%,USD,44.04,-0.43%,USD,384.88,1.10%,USD,243.04,0.39%,USD,528.91,0.30%,USD,633.32,0.26%,USD,483.71,0.31%,USD,327.55,1.05%,USD,276.05,0.48%,USD,810.7,0.72%,USD,518.16,0.73%,USD,274.15,0.58%,USD,419.56,1.00%,USD,122.28,0.17%,USD,114.04,0.30%,USD,59.49,-0.97%,USD,144.58,1.19%,USD,84.61,0.67%,USD,137.16,-0.68%,USD,80.05,0.13%,USD,111.93,0.13%,USD,124.76,0.52%,USD,145.67,0.68%,USD,123.42,0.53%
10/31/2012,USD,474.65,-0.18%,USD,388.83,0.25%,USD,44.23,-0.07%,USD,380.7,0.35%,USD,242.09,-0.42%,USD,527.35,0.91%,USD,631.68,1.03%,USD,482.22,0.88%,USD,324.15,-0.77%,USD,274.74,0.87%,USD,804.9,-0.73%,USD,514.41,-0.21%,USD,272.56,-4.64%,USD,415.4,0.34%,USD,122.07,-0.74%,USD,113.7,0.05%,USD,60.07,-0.43%,USD,142.88,0.49%,USD,84.05,-0.61%,USD,138.1,0.24%,USD,79.95,0.52%,USD,111.79,-2.09%,USD,124.11,-0.66%,USD,144.69,-4.74%,USD,122.77,0.27%
9/30/2012,USD,475.5,1.04%,USD,387.86,0.40%,USD,44.26,-3.78%,USD,379.37,2.21%,USD,243.12,0.56%,USD,522.57,1.67%,USD,625.27,1.78%,USD,478.03,1.62%,USD,326.65,0.41%,USD,272.37,1.26%,USD,810.82,0.60%,USD,515.48,1.57%,USD,285.82,-1.37%,USD,413.98,0.80%,USD,122.98,0.96%,USD,113.64,0.34%,USD,60.33,-2.79%,USD,142.19,4.09%,USD,84.57,1.14%,USD,137.77,1.56%,USD,79.54,0.43%,USD,114.18,-0.13%,USD,124.93,1.71%,USD,151.89,-1.25%,USD,122.44,0.57%
8/31/2012,USD,470.6,0.84%,USD,386.32,0.44%,USD,46,-4.25%,USD,371.16,0.84%,USD,241.77,1.25%,USD,514.01,1.18%,USD,614.35,0.88%,USD,470.4,1.32%,USD,325.31,0.52%,USD,268.99,1.02%,USD,805.99,0.38%,USD,507.51,1.51%,USD,289.8,-1.55%,USD,410.69,1.36%,USD,121.81,0.69%,USD,113.25,0.30%,USD,62.06,-3.54%,USD,136.6,0.48%,USD,83.62,1.84%,USD,135.66,1.10%,USD,79.2,0.43%,USD,114.33,-0.13%,USD,122.83,1.56%,USD,153.81,-1.69%,USD,121.74,1.37%
7/31/2012,USD,466.68,1.42%,USD,384.64,0.86%,USD,48.04,-0.44%,USD,368.05,0.96%,USD,238.79,-0.40%,USD,508.03,0.74%,USD,608.99,0.95%,USD,464.26,0.66%,USD,323.62,-0.51%,USD,266.27,1.62%,USD,802.96,2.14%,USD,499.94,0.55%,USD,294.37,4.68%,USD,405.18,1.28%,USD,120.97,1.47%,USD,112.91,0.81%,USD,64.34,1.47%,USD,135.95,1.28%,USD,82.11,0.29%,USD,134.19,0.24%,USD,78.86,1.23%,USD,114.48,3.45%,USD,120.94,0.36%,USD,156.45,4.52%,USD,120.09,1.19%
6/30/2012,USD,460.14,-0.40%,USD,381.35,0.33%,USD,48.25,-2.72%,USD,364.54,-0.13%,USD,239.74,0.93%,USD,504.28,-0.18%,USD,603.27,-0.23%,USD,461.23,-0.16%,USD,325.29,0.53%,USD,262.02,0.76%,USD,786.12,-1.37%,USD,497.21,0.35%,USD,281.2,-3.56%,USD,400.05,0.48%,USD,119.22,-0.36%,USD,112,0.39%,USD,63.41,-2.76%,USD,134.23,-0.59%,USD,81.87,2.13%,USD,133.87,-1.24%,USD,77.9,0.85%,USD,110.66,-1.13%,USD,120.51,1.45%,USD,149.68,-3.70%,USD,118.68,0.41%
5/31/2012,USD,461.99,-1.33%,USD,380.1,-0.84%,USD,49.6,9.03%,USD,365.03,-3.79%,USD,237.54,-3.18%,USD,505.19,-1.32%,USD,604.64,-1.24%,USD,461.99,-1.36%,USD,323.56,-1.53%,USD,260.05,0.24%,USD,797.05,0.19%,USD,495.5,-4.53%,USD,291.58,2.38%,USD,398.13,-1.17%,USD,119.65,-1.69%,USD,111.57,-0.63%,USD,65.21,8.16%,USD,135.02,-7.00%,USD,80.16,-4.41%,USD,135.55,-1.09%,USD,77.24,0.09%,USD,111.93,-0.88%,USD,118.79,-4.25%,USD,155.43,2.30%,USD,118.2,-0.22%
4/30/2012,USD,468.22,-0.04%,USD,383.31,-0.23%,USD,45.49,-2.53%,USD,379.4,0.15%,USD,245.34,-0.41%,USD,511.97,-0.23%,USD,612.26,0.14%,USD,468.37,-0.41%,USD,328.58,-0.47%,USD,259.43,0.69%,USD,795.5,-0.25%,USD,518.99,-0.46%,USD,284.79,0.43%,USD,402.84,0.58%,USD,121.71,-0.50%,USD,112.28,-0.20%,USD,60.29,-0.79%,USD,145.18,-0.23%,USD,83.86,-0.98%,USD,137.05,-1.13%,USD,77.17,0.43%,USD,112.92,-0.45%,USD,124.06,-0.93%,USD,151.94,0.57%,USD,118.46,0.16%
